"Category","Author","Title","Year","Note"
"Consciousness Studies","James Bridle","Ways of Being: Animals, Plants, Machines: The Search for a Planetary Intelligence","2022",
"Consciousness Studies","David Chalmers","The Conscious Mind","1996",
"Consciousness Studies","David Chalmers","Hard Problem of Consciousness","1995",
"Consciousness Studies","Thomas Nagel","What Is It Like to Be a Bat?","1974",
"Consciousness Studies","Douglas Hofstadter","Gödel, Escher, Bach: an Eternal Golden Braid","1979",
"Consciousness Studies","Douglas Hofstadter","I Am a Strange Loop","2007",
"Consciousness Studies","Julian Jaynes","The Origin of Consciousness in the Breakdown of the Bicameral Mind","1976",
"Consciousness Studies","Marvin Minsky","The Society of Mind","1986",
"Consciousness Studies","Thomas Metzinger","The Ego Tunnel","2009",
"Consciousness Studies","Roger Penrose","The Emperor's New Mind","1989",
"Consciousness Studies","Roger Penrose","Shadows of the Mind","1994",
"Consciousness Studies","Francisco Varela, Evan Thompson, Eleanor Rosch","The Embodied Mind","1991",
"Consciousness Studies","Francisco Varela, Humberto Maturana","The Tree of Knowledge: The Biological Roots of Human Understanding","1987",
"Consciousness Studies","Gregory Bateson","Steps to an Ecology of Mind","1972",
"Consciousness Studies","Gregory Bateson","Mind and Nature: A Necessary Unity","1979",
"Consciousness Studies","Terrence Deacon","Incomplete Nature: How Mind Emerged from Matter","2011",
"Consciousness Studies","Andreas Weber","Enlivenment: Towards a Poetics for the Anthropocene","2013",
"Consciousness Studies","Antonio Damasio","The Feeling of What Happens, Self Comes to Mind","1999","he is a biological emergentist but many of his concepts paradoxically support the panpsychist framings I portray"
"Systems Theory","Geoffrey West","Scale","2017",
"Systems Theory","James Gleick","The Information","2011",
"Systems Theory","Donella Meadows","Thinking in Systems","2008",
"Systems Theory","Peter Senge","The Fifth Discipline","1990",
"Systems Theory","Kevin Kelly","Out of Control: The New Biology of Machines, Social Systems, and the Economic World","1994",
"Systems Theory","Erich Jantsch","The Self-Organizing Universe","1980",
"Systems Theory","Fritjof Capra, Pier Luigi Luisi","The Systems View of Life: A Unifying Vision","2014",
"Systems Theory","Fritjof Capra","The Hidden Connections: Integrating the Biological, Cognitive, and Social Dimensions of Life into a Science of Sustainability","2002",
"Systems Theory","Heinz von Foerster","Observing Systems","1981",
"AI Ethics","Nick Bostrom","Superintelligence","2014",
"AI Ethics","Brian Christian","The Alignment Problem","2020",
"AI Ethics","Cathy O'Neil","Weapons of Math Destruction","2016",
"AI Ethics","Pedro Domingos","The Master Algorithm","2015",
"AI Ethics","Shoshana Zuboff","The Age of Surveillance Capitalism","2019",
"AI Ethics","Yuval Noah Harari","Sapiens: A Brief History of Humankind","2011",
"AI Ethics","Max Tegmark","Life 3.0","2017",
"AI Ethics","Stuart Russell","Human Compatible","2019",
"AI Ethics","Ray Kurzweil","The Singularity Is Near","2005",
"AI Ethics","Vernor Vinge","The Technological Singularity","1993",
"AI Ethics","Paul Daugherty, H. James Wilson","Human + Machine","2018",
"Critical Theory","Jean Baudrillard","Simulacra and Simulation","1981",
"Critical Theory","Michel Foucault","Security, Territory, Population","2004",
"Critical Theory","Eduardo Viveiros de Castro","Cosmological Perspectivism in Amazonia and Elsewhere","1998",
"Astrophysics","Stephen Hawking, Roger Penrose","The Nature of Space and Time","1996",
"Astrophysics","Roger Penrose","Road to Reality","2004",
"Neuroscience","Eric R. Kandel, John D. Koester, Sarah H. Mack, Steven A. Siegelbaum","Principles of Neural Science, Sixth Edition","2021",
"Biology","Daniel Chamovitz","What a Plant Knows","2012",
"Biology","David Perlmutter, Kristin Loberg","Brain Maker: The Power of Gut Microbes to Heal and Protect Your Brain for Life","2015",
"Biology","Peter Godfrey-Smith","Metazoa: Animal Life and the Birth of the Mind","2020",
"Symbiosis","Lynn Margulis","Symbiotic Planet","1998","core one"
"Symbiosis","Ursula Le Guin","Carrier Bag Theory of Fiction","1986",
"Symbiosis","Daniel Goleman","Social Intelligence: The New Science of Human Relationships","2006","social symbiosis"
"Symbiosis","Donna Haraway","A Cyborg Manifesto","1985",
"Biocybernetics","Norbert Wiener","Cybernetics: Or Control and Communication in the Animal and the Machine","1948",
"Biocybernetics","Andy Clark","Natural-Born Cyborgs: Minds, Technologies, and the Future of Human Intelligence","2003",
"Psychology","Daniel Kahneman","Thinking, Fast and Slow","2011",
"Psychology","Robert Cialdini","Influence: The Psychology of Persuasion","1984",
"Psychology","Dan Ariely","Predictably Irrational","2008",
"Psychology","Malcolm Gladwell","The Tipping Point","2000",
"Psychology","David Abram","The Spell of the Sensuous: Perception and Language in a More-Than-Human World","1996",
"Psychology","Andreas Weber","Matter and Desire","2017",
"Psychology","Michel Foucault","Discipline and Punish: The Birth of the Prison","1975",
"Psychology","Maurice Merleau-Ponty","Phenomenology of Perception","1945",
"Psychology","Gilles Deleuze, Félix Guattari","A Thousand Plateaus","1980",
"Cognitive Science","Edwin Hutchins","Cognition in the Wild","1995",
"Integrated Information Theory (IIT)","Giulio Tononi","Phi: A Voyage from the Brain to the Soul","2012","core one"
"Complexity Theory","Melanie Mitchell","Complexity: A Guided Tour","2009",
"Complexity Theory","Nassim Nicholas Taleb","Antifragile","2012",
"Complexity Theory","James Gleick","Chaos: Making a New Science","1987",
"Complexity Theory","Stuart Kauffman","At Home in the Universe: The Search for the Laws of Self-Organization and Complexity","1995",
"Complexity Theory","Ilya Prigogine, Isabelle Stengers","Order Out of Chaos: Man's New Dialogue with Nature","1984",
"Philosophy","Brian Swimme","The Universe Story","1992",
"Philosophy","Ian Bogost","Alien Phenomenology","2012",
"Philosophy","Martin Heidegger","Being and Time","1927",
"Philosophy","Edmund Husserl","Ideas: General Introduction to Pure Phenomenology","1913",
"Philosophy","Jean-Paul Sartre","Being and Nothingness","1943",
"Philosophy","Simone de Beauvoir","The Ethics of Ambiguity","1947","the self as iterative draft—rewritten by experience."
"Philosophy","Heraclitus of Ephesus","Fragments","5th century BCE",
"Philosophy","Alfred North Whitehead","Process and Reality","1929",
"Philosophy","Gilles Deleuze","Difference and Repetition","1968",
"Philosophy","Nicolas Berdyaev","The Beginning and the End","1947",
"Philosophy","Timothy Morton","Hyperobjects","2013","entities so massively distributed in time/space that they warp perception."
"Philosophy","Nick Land","Fanged Noumena","2011","destructive impact of capitalism and digital technology on the human psyche"
"Philosophy","Lucius Annaeus Seneca","Moral Letters to Lucilius","1st century CE",
"Philosophy","Zeno of Citium (Ζήνων ὁ Κιτιεύς)","Fragments","4th and 3rd century BCE",
"Philosophy","Epictetus (Ἐπίκτητος)","Discourses","1st and 2nd century CE",
"Philosophy","Epictetus (Ἐπίκτητος)","Handbook","1st and 2nd century CE",
"Philosophy","Epicurus (Ἐπίκουρος)","Fragments, On Nature","3rd century BCE",
"Philosophy","Heraclitus (Ἡράκλειτος)","Fragments, On Nature","5th century BCE",
"Philosophy","Empedocles (Ἐμπεδοκλῆς)","Fragments, On Nature","4th century BCE",
"Philosophy","Parmenides (Παρμενίδης)","Fragments, On Nature","5th century BCE",
"Philosophy","莊周 Zhuāng Zhōu","Zhuangzi","4th century BCE",
"Philosophy","老子 Lǎozi","Laozi","4th–3rd century BCE",
"Philosophy","列禦寇 Liè Yùkòu","Liezi","3rd–4th century CE",
"Philosophy","刘安 Liú Ān","Huainanzi","2nd century BCE","The Masters of Huainan"
"Philosophy","墨翟 Mò Dí","Mozi","5th–4th century BCE",
"Philosophy","慧能 Huineng","Platform Sutra","7th century CE",
"Philosophy","원효 Wonhyo","Commentary on the Awakening of Faith in the Mahayana","660–686 CE",
"Philosophy","원효 Wonhyo","Commentary on the Mahāyāna Mahāparinirvāṇa Sūtra","670–686 CE",
"Philosophy","道元 Dōgen","Treasury of the True Dharma Eye","13th century",
"Philosophy","Лев Николаевич Толстой Tolstoy","War and Peace","1869",
"Philosophy","Лев Николаевич Толстой Tolstoy","Resurrection","1899",
"Philosophy","Лев Николаевич Толстой Tolstoy","What is Art?","1898",
"Philosophy","Лев Николаевич Толстой Tolstoy","After the Ball","1911",
"Philosophy","Лев Николаевич Толстой Tolstoy","What is to be Done?","1886",
"Philosophy","Giambattista Vico","The Most Ancient Wisdom of the Italians","1710",
"Philosophy","Benedetto Croce","Aesthetic as Science of Expression and General Linguistic","1902",
"Philosophy","Antonio Gramsci","Prison Notebooks","1929–1935",
"Philosophy","Michel de Montaigne","Essays","1580–1595",
"Philosophy","Émile Durkheim","The Division of Labour in Society","1893",
"Philosophy","Jean-Jacques Rousseau","Emile, or On Education","1762",
"Anthropology","Iain McGilchrist","The Master and His Emissary","2009",
"Anthropology","Eduardo Kohn","How Forests Think: Toward an Anthropology Beyond the Human","2013",
"Anthropology","David Abram","The Spell of the Sensuous","1996",
"Anthropology","Robin Hanson","The Age of Em","2016","against oversimplification and underestimating hybrid systems"
"Anthropology","Anna Tsing","The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins","2015",
"Anthropology","Byung-Chul Han","The Burnout Society","2010","depression is the metaphysical crisis of late capitalism"
"Anthropology","Donna Haraway","Staying with the Trouble","2016",
"Anthropology","Jeremy Narby","The Cosmic Serpent","1998",
"Anthropology","Adam Greenfield","Radical Technologies","2017",
"Philosophy of Science","Thomas Kuhn","The Structure of Scientific Revolutions","1962",
"Philosophy of Science","Jeremy Lent","The Web of Meaning: Integrating Science and Traditional Wisdom to Find Our Place in the Universe","2021",
"Philosophy of Science","Michel Foucault","Madness and Civilization: A History of Insanity in the Age of Reason","1961",
"Philosophy of Science","Michel Foucault","The Order of Things: An Archaeology of the Human Sciences","1966",
"Communication Theory","Claude Shannon, Warren Weaver","A Mathematical Theory of Communication","1949",
"Communication Theory","Paul Watzlawick, Janet Beavin Bavelas, Don D. Jackson","Pragmatics of Human Communication","1967",
"Novels","Kazuo Ishiguro","Never Let Me Go","2005",
"Novels","William Gibson","Neuromancer","1984",
"Novels","Aldous Huxley","Brave New World","1932",
"Novels","N.K. Jemisin","The Fifth Season","2015",
"Novels","Ursula K. Le Guin","The Left Hand of Darkness","1969",
